business_id,district,sector,investment_lakhs,employee_count,power_requirement_kw,land_area_sqm,water_usage_kld,uses_hazardous_material,uses_boiler,is_service_sector,trade_license,gst_registration,factory_license,labour_registration,fire_noc,pollution_noc,environmental_clearance,fssai_license,boiler_license,explosives_license,electricity_noc,building_plan_approval
PB00050,Bathinda,Pharmaceutical,475.28,9,52.5,591.0,34.1,1,0,0,1,1,0,1,1,1,0,0,0,1,1,1
PB00051,Amritsar,Electronics,269.44,25,43.7,320.3,4.8,0,0,0,1,1,1,1,1,0,0,0,0,0,1,1
PB00052,Amritsar,Cement,582.31,3,98.4,2749.7,10.7,0,0,0,1,1,1,0,1,0,1,0,0,0,1,1
PB00053,Ludhiana,Cement,53.25,5,2.0,172.8,9.1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1
PB00054,Mohali (SAS Nagar),Leather Products,181.58,17,30.8,848.5,7.8,1,0,0,1,1,1,1,1,1,0,0,0,1,1,1
PB00055,Mohali (SAS Nagar),Auto Components,72.69,11,20.9,484.4,0.5,0,0,0,1,1,1,1,1,0,0,0,0,0,0,1
PB00056,Mohali,Plastic Products,1121.51,33,186.8,3384.4,5.1,1,0,0,1,1,1,1,1,1,0,0,0,1,1,1
PB00057,Mohali,Agro-based,163.83,28,20.7,50.0,10.3,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0
PB00058,Hoshiarpur,Paper & Pulp,963.73,23,106.0,2565.9,28.3,0,0,0,1,1,1,0,1,0,1,0,0,0,1,1
PB00059,Patiala,Agro-based,392.8,9,26.8,1462.3,0.5,0,0,0,1,1,0,0,1,0,0,0,0,0,1,1
PB00060,Moga,Beverages,323.48,13,30.9,646.2,26.4,0,0,0,1,1,1,1,1,1,0,1,0,0,1,1
PB00061,Fatehgarh Sahib,Cement,350.36,10,61.9,1305.2,0.5,0,0,0,1,1,1,1,1,0,0,0,0,0,1,1
PB00062,Moga,Leather Products,756.44,66,149.4,1962.9,16.9,1,0,0,1,1,1,1,1,1,0,0,0,1,1,1
PB00063,Rupnagar,Plastic Products,388.99,82,48.0,1278.9,4.9,1,0,0,1,1,1,1,1,1,0,0,0,1,1,1
PB00064,Sangrur,Plastic Products,1491.05,34,233.8,5006.5,14.4,1,0,0,1,1,1,1,1,1,1,0,0,1,1,1
PB00065,Amritsar,Agro-based,639.11,23,91.4,1919.0,11.5,0,0,0,1,1,1,1,1,0,0,0,0,0,1,1
PB00066,Mohali,Leather Products,78.39,11,15.6,772.0,11.8,1,0,0,1,1,1,1,1,1,0,0,0,0,0,1
PB00067,Patiala,Textile Dyeing,2257.64,15,327.5,7713.5,8.4,0,0,0,1,1,1,1,1,1,1,0,0,0,1,1
PB00068,Mohali,Leather Products,35.92,5,38.6,556.7,18.3,1,0,0,1,1,0,1,1,1,0,0,0,0,1,1
PB00069,Mohali,Rice Milling,338.82,5,43.4,1028.1,14.8,0,0,0,1,1,0,0,1,1,0,1,0,0,1,1
PB00070,Mohali (SAS Nagar),Textile,1131.1,21,168.8,3333.8,0.5,0,0,0,1,1,1,1,1,0,0,0,0,0,1,1
PB00071,Ludhiana,Electronics,482.53,7,72.1,1256.0,0.5,0,0,0,1,1,0,1,1,0,0,0,0,0,1,1
PB00072,Fatehgarh Sahib,Beverages,114.3,9,28.6,1042.6,27.4,1,0,0,1,1,0,1,1,1,0,1,0,1,1,1
PB00073,Patiala,Furniture/Wood,1784.02,24,256.0,5340.0,3.2,0,0,0,1,1,1,1,1,0,0,0,0,0,1,1
PB00074,Amritsar,Paper & Pulp,106.06,25,2.0,50.0,19.9,0,1,0,1,1,1,1,1,1,0,0,1,0,0,0
PB00075,Ludhiana,Steel Rolling,6000.0,23,898.3,17813.4,17.1,0,0,0,1,1,1,1,1,1,1,0,0,0,1,1
PB00076,Hoshiarpur,Chemical,2451.74,4,396.6,6050.3,23.0,1,1,0,1,1,0,0,1,1,1,0,1,1,1,1
PB00077,Jalandhar,Textile,97.11,46,5.2,464.6,4.6,0,0,0,1,1,1,1,1,0,0,0,0,0,0,1
PB00078,Mohali,Auto Components,681.81,25,59.2,2399.0,12.8,0,0,0,1,1,1,1,1,0,0,0,0,0,1,1
PB00079,Bathinda,Textile Dyeing,497.72,7,57.0,2301.1,35.8,1,1,0,1,1,0,1,1,1,0,0,1,1,1,1
PB00080,Fatehgarh Sahib,Steel Rolling,319.11,8,58.0,1257.3,0.5,0,0,0,1,1,0,1,1,0,0,0,0,1,1,1
PB00081,Mohali (SAS Nagar),Leather Products,259.24,21,51.2,848.2,24.0,1,0,0,1,1,1,1,1,1,0,0,0,1,1,1
PB00082,Rupnagar,Electronics,1199.17,13,199.2,4192.2,0.5,0,0,0,1,1,1,1,1,0,0,0,0,1,1,1
PB00083,Mohali,Agro-based,1056.08,2,179.7,4291.3,2.6,0,0,0,1,1,0,0,1,0,0,0,0,0,1,1
PB00084,Mohali,Paper & Pulp,388.32,60,21.8,2329.3,25.8,0,0,0,1,1,1,0,1,0,0,0,0,0,0,1
PB00085,Patiala,Leather Products,327.74,27,48.5,508.0,13.0,1,0,0,1,1,1,1,1,1,0,0,0,1,1,1
PB00086,Hoshiarpur,Auto Components,136.63,6,31.5,1333.2,6.8,0,0,0,1,1,0,1,1,0,0,0,0,0,1,1
PB00087,Fatehgarh Sahib,Electronics,698.97,5,127.8,1946.5,2.8,0,0,0,1,1,0,1,1,0,0,0,0,0,1,1
PB00088,Ludhiana,Leather Products,921.97,29,146.6,2673.3,19.0,1,0,0,1,0,1,1,1,1,0,0,0,1,1,1
PB00089,Hoshiarpur,Textile Dyeing,166.66,71,58.6,223.2,24.6,0,1,0,1,1,1,1,1,1,0,0,1,0,1,1
PB00090,Sangrur,Pharmaceutical,2419.31,20,331.8,7423.4,26.7,1,0,0,1,1,1,1,1,1,1,0,0,1,1,1
PB00091,Bathinda,Plastic Products,745.58,17,122.6,1776.4,6.4,1,0,0,1,1,1,1,1,1,0,0,0,1,1,1
PB00092,Bathinda,Plastic Products,85.19,48,15.6,1415.2,8.1,1,0,0,1,1,1,1,1,1,0,0,0,0,0,1
PB00093,Moga,Textile,53.53,25,2.0,50.0,8.1,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0
PB00094,Bathinda,Beverages,6000.0,11,891.0,17726.9,27.8,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1
PB00095,Bathinda,Furniture/Wood,228.63,38,18.3,861.7,12.6,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0
PB00096,Amritsar,Auto Components,9.71,6,9.8,50.0,4.5,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0
PB00097,Patiala,Food Processing,99.3,28,2.0,50.0,8.9,0,0,0,1,1,1,1,1,0,0,1,0,0,0,0
PB00098,Rupnagar,Textile,130.23,56,11.9,1265.3,11.4,0,0,0,1,1,1,1,1,0,0,0,0,0,0,1
PB00099,Mohali,Auto Components,108.6,15,39.7,50.0,0.5,0,0,0,1,1,1,1,1,0,0,0,0,0,1,0
PB00100,Amritsar,IT/Software Services,247.29,114,25.0,1112.9,7.4,0,0,1,1,1,0,1,1,0,0,0,0,0,0,1
PB00101,Ludhiana,Auto Components,166.88,52,5.4,50.0,10.4,0,0,0,1,1,1,1,1,0,1,0,0,0,0,0
PB00102,Moga,Plastic Products,1441.73,13,213.9,4311.6,9.6,1,0,0,1,1,1,1,1,1,0,0,0,1,1,1
PB00103,Rupnagar,Textile,162.07,19,41.5,50.0,0.5,0,0,0,1,1,1,1,0,0,0,0,0,0,1,0
PB00104,Amritsar,Leather Products,268.84,5,52.4,159.7,21.9,1,0,0,1,1,0,1,1,1,0,0,0,1,1,1
PB00105,Jalandhar,Steel Rolling,253.0,7,67.5,511.2,10.3,0,0,0,1,1,0,1,1,0,0,0,0,0,1,1
PB00106,Ludhiana,Textile Dyeing,1956.22,7,281.0,6038.1,26.5,0,0,0,1,1,0,1,1,1,0,0,0,0,1,1
PB00107,Moga,Beverages,353.17,23,35.2,840.8,25.8,0,1,0,1,1,1,1,1,1,0,1,1,0,0,1
PB00108,Sangrur,Chemical,267.7,10,91.3,521.0,21.5,1,1,0,1,1,1,1,1,1,0,0,1,1,1,1
PB00109,Sangrur,Cement,867.86,38,131.9,3342.3,0.5,0,0,0,1,1,1,1,1,0,1,0,0,0,1,1
PB00110,Patiala,Chemical,326.03,12,54.1,1551.8,17.6,1,1,0,1,1,1,1,1,1,1,0,1,0,1,1
PB00111,Rupnagar,Rice Milling,575.64,14,77.0,929.6,24.1,0,1,0,1,1,1,1,1,1,0,1,1,0,1,1
PB00112,Mohali,Chemical,224.53,6,15.8,851.1,18.2,1,1,0,1,1,0,1,1,1,0,0,1,1,0,1
PB00113,Amritsar,Chemical,58.03,6,13.6,217.8,25.6,1,1,0,1,1,0,1,1,1,0,0,1,0,0,1
PB00114,Moga,Paper & Pulp,448.73,9,99.9,1478.1,15.3,0,0,0,1,1,0,1,1,1,0,0,0,0,1,1
PB00115,Amritsar,Pharmaceutical,117.13,29,50.2,220.9,27.6,1,0,0,1,1,1,1,1,1,0,0,0,1,1,1
PB00116,Mohali (SAS Nagar),Leather Products,189.02,22,11.6,318.3,14.5,1,0,0,1,1,1,1,1,1,0,0,0,1,0,1
PB00117,Bathinda,Textile Dyeing,166.72,2,8.7,397.5,9.1,0,1,0,1,1,0,0,1,1,0,0,1,0,0,1
PB00118,Sangrur,Engineering/Metal Fabrication,302.15,23,23.0,1300.9,2.8,0,0,0,1,1,1,1,1,0,0,0,0,0,0,1
PB00119,Sangrur,Electronics,156.76,45,23.3,621.8,7.9,0,0,0,1,1,1,1,1,0,0,0,0,1,0,1
PB00120,Jalandhar,Pharmaceutical,204.83,22,24.8,698.7,30.5,1,0,0,1,1,1,1,1,1,0,0,0,1,0,1
PB00121,Mohali,Furniture/Wood,208.89,72,36.3,837.4,8.6,0,0,0,1,1,1,1,1,0,0,0,0,0,1,1
PB00122,Hoshiarpur,Leather Products,106.13,25,2.0,206.3,15.2,1,0,0,1,1,1,1,1,1,0,0,0,1,0,1
PB00123,Jalandhar,Electronics,1038.14,22,124.5,2400.4,0.5,0,0,0,1,1,1,1,0,0,1,0,0,0,1,1
PB00124,Jalandhar,Beverages,94.34,26,31.8,784.6,36.5,0,1,0,1,1,1,1,1,1,0,1,1,0,1,1
PB00125,Rupnagar,Beverages,829.79,65,117.3,2886.6,24.5,0,1,0,1,1,1,1,1,1,0,1,1,0,1,1
PB00126,Moga,Electronics,4808.67,39,731.3,14520.8,13.0,0,0,0,1,1,1,1,1,0,1,0,0,0,1,1
PB00127,Hoshiarpur,Chemical,139.48,16,15.8,50.0,23.4,1,1,0,1,1,1,1,1,1,0,0,1,1,0,0
PB00128,Ludhiana,IT/Software Services,472.33,4,19.0,1135.7,23.2,0,0,1,1,1,0,0,1,1,0,0,0,0,0,1
PB00129,Fatehgarh Sahib,Rice Milling,610.99,13,76.1,1735.8,12.9,0,1,0,1,1,1,1,1,1,0,1,1,0,1,1
PB00130,Mohali,Plastic Products,542.14,35,58.0,2152.4,0.5,1,0,0,1,1,1,1,0,1,0,0,0,1,1,1
PB00131,Ludhiana,Chemical,37.83,8,2.0,50.0,18.9,1,1,0,1,1,0,1,1,1,0,0,1,1,0,0
PB00132,Sangrur,Agro-based,439.02,24,44.4,1422.0,18.5,0,0,0,1,1,1,1,1,1,0,0,0,0,1,1
PB00133,Sangrur,Engineering/Metal Fabrication,1277.6,12,176.9,3748.8,13.9,0,0,0,1,1,1,1,1,0,0,0,0,0,0,1
PB00134,Sangrur,Chemical,466.2,6,99.6,1272.0,10.3,1,1,0,1,1,0,1,0,1,0,0,1,1,1,1
PB00135,Ludhiana,Rice Milling,1166.0,70,150.2,3201.8,19.8,0,1,0,1,1,0,1,1,1,0,1,1,0,1,1
PB00136,Bathinda,Steel Rolling,549.04,13,114.3,1927.6,2.6,0,0,0,1,1,1,1,1,0,0,0,0,0,1,1
PB00137,Bathinda,Cement,108.49,18,50.9,1441.1,10.1,0,0,0,1,1,1,1,1,0,0,0,0,0,1,1
PB00138,Amritsar,Textile Dyeing,699.89,1,99.3,2650.1,35.7,0,1,0,1,1,0,0,1,1,0,0,1,0,1,1
PB00139,Bathinda,Paper & Pulp,566.15,11,90.3,1526.9,25.0,0,1,0,1,1,1,1,1,1,1,0,1,0,1,1
PB00140,Rupnagar,Leather Products,268.66,2,103.1,1334.0,21.8,1,0,0,1,1,0,0,1,1,0,0,0,1,1,1
PB00141,Ludhiana,Rice Milling,775.04,1,129.4,2422.5,19.9,0,0,0,1,1,0,0,1,1,0,1,0,0,1,0
PB00142,Mohali (SAS Nagar),Steel Rolling,263.13,48,10.7,879.7,6.2,0,0,0,1,1,1,1,1,0,1,0,0,0,0,1
PB00143,Amritsar,Cement,619.97,33,90.3,1051.0,8.6,0,0,0,1,1,1,1,1,0,1,0,0,1,1,1
PB00144,Moga,Rice Milling,175.73,11,2.0,176.3,24.7,0,0,0,1,1,0,1,0,1,0,1,0,0,0,1
PB00145,Rupnagar,Chemical,178.99,36,2.0,522.9,22.7,1,1,0,1,1,1,0,1,1,0,0,1,1,0,1
PB00146,Bathinda,Electronics,142.27,34,4.0,97.8,2.6,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0
PB00147,Ludhiana,Pharmaceutical,375.36,97,87.7,462.0,24.2,1,0,0,1,1,1,1,1,1,0,0,0,1,1,1
PB00148,Ludhiana,IT/Software Services,164.34,23,22.2,50.0,5.1,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0
PB00149,Bathinda,Electronics,1265.25,15,203.2,3259.8,0.5,0,0,0,1,1,1,1,1,0,0,0,0,0,1,1
PB00150,Moga,Textile Dyeing,991.96,26,160.6,2513.0,20.8,0,1,0,1,1,1,1,1,1,0,0,1,0,1,1
PB00151,Moga,Auto Components,413.52,26,38.4,1797.7,10.7,0,0,0,1,1,1,0,1,0,0,0,0,0,0,1
PB00152,Hoshiarpur,Food Processing,888.92,2,138.4,3161.1,0.5,0,0,0,1,0,0,0,1,0,0,1,0,0,1,1
PB00153,Amritsar,Textile,2536.73,14,366.6,7589.6,9.3,0,0,0,1,1,1,1,1,0,1,0,0,0,1,1
PB00154,Patiala,Plastic Products,427.0,68,43.7,875.6,0.5,1,0,0,1,1,1,1,1,1,0,0,0,1,0,1
PB00155,Mohali (SAS Nagar),Auto Components,68.83,19,50.8,209.9,3.5,0,0,0,1,1,1,1,1,0,0,0,0,0,1,1
PB00156,Rupnagar,Furniture/Wood,272.27,24,48.3,840.8,7.7,0,0,0,1,1,1,1,1,0,0,0,0,0,1,1
PB00157,Rupnagar,Auto Components,644.5,16,83.8,2177.4,19.4,0,0,0,1,1,1,1,1,1,0,0,0,1,0,1
PB00158,Rupnagar,IT/Software Services,327.01,17,22.6,677.3,11.1,0,0,1,1,1,0,0,1,0,0,0,0,0,0,1
PB00159,Ludhiana,Agro-based,180.52,20,2.0,330.3,15.0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,1
PB00160,Mohali (SAS Nagar),Textile,49.02,4,47.0,421.7,26.1,0,0,0,1,1,0,0,1,1,0,0,0,0,1,1
PB00161,Mohali (SAS Nagar),Cement,220.13,6,25.7,882.3,5.1,0,0,0,1,1,0,1,1,0,0,0,0,0,1,1
PB00162,Mohali,Cement,880.6,38,87.9,3853.0,11.9,0,0,0,1,1,1,1,1,1,1,0,0,0,1,1
PB00163,Bathinda,Paper & Pulp,985.49,54,177.5,2715.9,26.8,0,1,0,1,1,1,1,1,1,1,0,1,0,1,1
PB00164,Rupnagar,Furniture/Wood,523.2,63,68.4,695.4,6.1,0,0,0,1,1,1,1,1,0,0,0,0,0,1,1
PB00165,Moga,Rice Milling,107.09,13,10.6,431.5,18.4,0,1,0,1,1,1,1,1,1,0,1,1,0,0,1
PB00166,Patiala,Leather Products,374.4,30,73.1,976.2,19.4,1,0,0,1,1,0,1,1,1,0,0,0,1,1,1
PB00167,Mohali (SAS Nagar),Rice Milling,406.58,9,75.0,1430.2,23.9,0,1,0,1,1,0,1,1,1,0,1,1,0,1,1
PB00168,Amritsar,Textile Dyeing,226.19,17,21.1,177.3,11.2,0,1,0,1,1,1,1,1,1,0,0,1,0,0,1
PB00169,Hoshiarpur,Textile,481.07,25,94.5,2167.5,2.1,0,0,0,1,1,1,1,1,0,0,0,0,0,1,1
PB00170,Sangrur,Pharmaceutical,93.82,64,2.0,50.0,33.6,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0
PB00171,Hoshiarpur,Auto Components,368.07,19,59.2,697.8,17.0,0,0,0,1,0,1,1,1,1,0,0,0,0,1,1
PB00172,Ludhiana,Chemical,1591.66,14,218.6,4127.0,24.1,1,0,0,1,0,1,1,1,1,1,0,0,1,1,1
PB00173,Fatehgarh Sahib,Food Processing,1389.62,12,219.7,3659.0,4.8,0,0,0,1,1,1,1,1,0,1,1,0,0,1,1
PB00174,Amritsar,IT/Software Services,333.02,10,55.2,1146.2,3.1,0,0,1,1,0,0,1,1,0,0,0,0,0,1,1
PB00175,Amritsar,Auto Components,79.36,5,6.5,684.4,0.5,0,0,0,1,1,0,1,1,0,0,0,0,0,0,1
PB00176,Ludhiana,Agro-based,379.82,11,84.2,1304.5,12.2,0,0,0,1,1,1,1,1,0,0,0,0,0,1,1
PB00177,Rupnagar,Agro-based,965.35,16,149.8,2708.0,19.0,0,0,0,1,1,1,1,1,1,0,0,0,0,1,1
PB00178,Ludhiana,Pharmaceutical,131.62,6,3.2,1869.4,30.0,1,0,0,1,1,0,1,1,1,0,0,0,1,0,1
PB00179,Fatehgarh Sahib,IT/Software Services,313.32,7,50.5,2432.6,7.9,0,0,1,1,1,0,1,1,0,0,0,0,0,1,1
PB00180,Hoshiarpur,Leather Products,285.75,69,33.5,906.5,29.0,1,0,0,1,1,1,1,1,1,0,0,0,1,1,1
PB00181,Amritsar,Chemical,5821.94,24,845.7,17183.4,28.2,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1
PB00182,Ludhiana,Furniture/Wood,4012.97,32,601.8,12216.2,4.6,0,0,0,1,1,1,1,1,0,1,0,0,0,1,1
PB00183,Mohali,Textile Dyeing,896.59,7,141.5,2978.3,28.4,0,0,0,1,1,0,1,1,1,0,0,0,0,1,0
PB00184,Moga,Beverages,995.09,12,168.1,3233.4,20.4,0,1,0,1,1,1,1,1,1,0,1,1,0,1,1
PB00185,Rupnagar,Plastic Products,152.38,61,13.8,392.2,9.7,1,0,0,1,1,1,1,1,1,0,0,0,1,0,1
PB00186,Fatehgarh Sahib,Electronics,322.61,48,103.4,1637.0,0.5,0,0,0,1,0,1,1,1,0,0,0,0,0,1,1
PB00187,Mohali,Textile Dyeing,955.79,21,180.7,3422.3,19.3,0,1,0,1,1,1,1,1,1,0,0,1,0,1,1
PB00188,Amritsar,Textile,105.76,46,7.4,871.4,9.8,0,0,0,1,1,1,1,1,0,0,0,0,0,0,1
PB00189,Hoshiarpur,Chemical,1025.56,5,164.9,3389.5,14.4,1,1,0,1,1,0,1,1,1,1,0,1,1,1,1
PB00190,Amritsar,Beverages,765.27,11,143.2,2329.8,8.6,0,1,0,1,1,1,1,1,1,0,1,1,0,1,1
PB00191,Jalandhar,IT/Software Services,362.47,10,78.7,788.6,0.5,0,0,1,1,1,1,1,1,0,0,0,0,0,1,1
PB00192,Mohali,Furniture/Wood,816.14,20,143.3,2520.9,5.2,0,0,0,1,1,1,1,1,0,0,0,0,0,1,1
PB00193,Jalandhar,Pharmaceutical,289.7,1,41.0,1431.4,20.1,1,0,0,1,1,0,0,1,1,0,0,0,1,1,1
PB00194,Bathinda,Electronics,886.16,8,123.2,3273.9,18.5,0,0,0,1,1,0,1,1,1,1,0,0,0,1,1
PB00195,Mohali (SAS Nagar),Paper & Pulp,137.24,258,2.0,255.4,6.8,0,1,0,1,1,1,1,1,1,0,0,1,0,0,1
PB00196,Hoshiarpur,Auto Components,729.73,24,109.5,1682.7,16.9,0,0,0,1,1,1,1,1,1,0,0,0,0,1,1
PB00197,Patiala,Beverages,163.67,2,57.3,50.0,17.4,0,0,0,1,1,0,0,0,1,0,1,0,0,1,0
PB00198,Mohali (SAS Nagar),Plastic Products,830.47,3,115.3,2185.1,13.4,1,0,0,1,1,0,0,1,1,0,0,0,1,1,1
PB00199,Bathinda,Steel Rolling,389.72,7,69.9,276.2,2.1,0,0,0,1,1,0,1,0,0,0,0,0,0,1,1
PB00200,Mohali,IT/Software Services,561.84,5,37.8,1956.4,18.1,0,0,1,1,1,0,1,1,1,0,0,0,0,1,1
PB00201,Moga,Steel Rolling,10.41,4,2.0,549.1,2.8,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1
PB00202,Sangrur,Chemical,1286.75,2,210.3,3414.1,23.2,1,1,0,1,1,0,0,1,1,1,0,1,1,1,1
PB00203,Jalandhar,Engineering/Metal Fabrication,1575.08,7,199.2,5143.0,6.1,0,0,0,1,1,0,1,1,0,0,0,0,0,1,1
